Library_Identifier,Physical_Copy_Available,Topic
ELC10000,Available,"IEEE Latin America Transactions"
ELC10001,Available,"IEEE Transactions on Aerospace and Electronic Systems"
ELC10002,Available,"IEEE Transactions on Affective Computing"
ELC10003,Available,"IEEE Transactions on Antennas and Propagation"
ELC10004,Available,"IEEE Transactions on Applied Superconductivity"
ELC10005,Available,"IEEE Transactions on Artificial Intelligence"
ELC10006,Available,"IEEE Transactions on Automatic Control"
ELC10007,Available,"IEEE Transactions on Automation Science and Engineering"
ELC10008,Available,"IEEE Transactions on Big Data"
ELC10009,Available,"IEEE Transactions on Biomedical Circuits and Systems"
ELC10010,Available,"IEEE Transactions on Biomedical Engineering"
ELC10011,Available,"IEEE Transactions on Biometrics, Behavior, and Identity Science"
ELC10012,Available,"IEEE Transactions on Broadcasting"
ELC10013,Available,"IEEE Transactions on Circuits and Systems I: Regular Papers"
ELC10014,Available,"IEEE Transactions on Circuits and Systems II: Express Briefs"
ELC10015,Available,"IEEE Transactions on Circuits and Systems for Video Technology"
ELC10016,Available,"IEEE Transactions on Cloud Computing"
ELC10017,Available,"IEEE Transactions on Cognitive Communications and Networking"
ELC10018,Available,"IEEE Transactions on Cognitive and Developmental Systems"
ELC10019,Available,"IEEE Transactions on Communications"
ELC10020,Available,"IEEE Transactions on Components, Packaging and Manufacturing Technology"
ELC10021,Available,"IEEE Transactions on Computational Social Systems"
ELC10022,Available,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"
ELC10023,Available,"IEEE Transactions on Computers"
ELC10024,Available,"IEEE Transactions on Consumer Electronics"
ELC10025,Available,"IEEE Transactions on Control Systems Technology"
ELC10026,Available,"IEEE Transactions on Control of Network Systems"
ELC10027,Available,"IEEE Transactions on Cybernetics"
ELC10028,Available,"IEEE Transactions on Dependable and Secure Computing"
ELC10029,Available,"IEEE Transactions on Device and Materials Reliability"
ELC10030,Available,"IEEE Transactions on Dielectrics and Electrical Insulation"
ELC10031,Available,"IEEE Transactions on Education"
ELC10032,Available,"IEEE Transactions on Electromagnetic Compatibility"
ELC10033,Available,"IEEE Transactions on Electron Devices"
ELC10034,Available,"IEEE Transactions on Emerging Topics in Computational Intelligence"
ELC10035,Available,"IEEE Transactions on Emerging Topics in Computing"
ELC10036,Available,"IEEE Transactions on Energy Conversion"
ELC10037,Available,"IEEE Transactions on Engineering Management"
ELC10038,Available,"IEEE Transactions on Evolutionary Computation"
ELC10039,Available,"IEEE Transactions on Fuzzy Systems"
ELC10040,Available,"IEEE Transactions on Games"
ELC10041,Available,"IEEE Transactions on Geoscience and Remote Sensing"
ELC10042,Available,"IEEE Transactions on Green Communications and Networking"
ELC10043,Available,"IEEE Transactions on Haptics"
ELC10044,Available,"IEEE Transactions on Human-Machine Systems"
ELC10045,Available,"IEEE Transactions on Industrial Electronics"
ELC10046,Available,"IEEE Transactions on Industrial Informatics"
ELC10047,Available,"IEEE Transactions on Industry Applications"
ELC10048,Available,"IEEE Transactions on Information Forensics and Security"
ELC10049,Available,"IEEE Transactions on Information Theory"
ELC10050,Available,"IEEE Transactions on Instrumentation and Measurement"
ELC10051,Available,"IEEE Transactions on Intelligent Transportation Systems"
ELC10052,Available,"IEEE Transactions on Intelligent Vehicles"
ELC10053,Available,"IEEE Transactions on Knowledge and Data Engineering"
ELC10054,Available,"IEEE Transactions on Learning Technologies"
ELC10055,Available,"IEEE Transactions on Magnetics"
ELC10056,Available,"IEEE Transactions on Medical Imaging"
ELC10057,Available,"IEEE Transactions on Medical Robotics and Bionics"
ELC10058,Available,"IEEE Transactions on Microwave Theory and Techniques"
ELC10059,Available,"IEEE Transactions on Mobile Computing"
ELC10060,Available,"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications"
ELC10061,Available,"IEEE Transactions on Multimedia"
ELC10062,Available,"IEEE Transactions on Nanobioscience"
ELC10063,Available,"IEEE Transactions on Nanotechnology"
ELC10064,Available,"IEEE Transactions on Network Science and Engineering"
ELC10065,Available,"IEEE Transactions on Network and Service Management"
ELC10066,Available,"IEEE Transactions on Neural Networks and Learning Systems"
ELC10067,Available,"IEEE Transactions on Nuclear Science"
ELC10068,Available,"IEEE Transactions on Parallel and Distributed Systems"
ELC10069,Available,"IEEE Transactions on Pattern Analysis and Machine Intelligence"
ELC10070,Available,"IEEE Transactions on Plasma Science"
ELC10071,Available,"IEEE Transactions on Power Delivery"
ELC10072,Available,"IEEE Transactions on Power Electronics"
ELC10073,Available,"IEEE Transactions on Power Systems"
ELC10074,Available,"IEEE Transactions on Professional Communication"
ELC10075,Available,"IEEE Transactions on Radiation and Plasma Medical Sciences"
ELC10076,Available,"IEEE Transactions on Reliability"
ELC10077,Available,"IEEE Transactions on Robotics"
ELC10078,Available,"IEEE Transactions on Semiconductor Manufacturing"
ELC10079,Available,"IEEE Transactions on Services Computing"
ELC10080,Available,"IEEE Transactions on Signal Processing"
ELC10081,Available,"IEEE Transactions on Signal and Information Processing over Networks"
ELC10082,Available,"IEEE Transactions on Smart Grid"
ELC10083,Available,"IEEE Transactions on Software Engineering"
ELC10084,Available,"IEEE Transactions on Sustainable Computing"
ELC10085,Available,"IEEE Transactions on Sustainable Energy"
ELC10086,Available,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
ELC10087,Available,"IEEE Transactions on Terahertz Science and Technology"
ELC10088,Available,"IEEE Transactions on Transportation Electrification"
ELC10089,Available,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control"
ELC10090,Available,"IEEE Transactions on Vehicular Technology"
ELC10091,Available,"IEEE Transactions on Very Large Scale Integration (VLSI) Systems"
ELC10092,Available,"IEEE Transactions on Visualization and Computer Graphics"
ELC10093,Available,"IEEE Transactions on Wireless Communications"
ELC10094,Available,"IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society"
ELC10095,Available,"IEEE/ACM Transactions on Audio Speech and Language Processing"
ELC10096,Available,"IEEE/ACM Transactions on Computational Biology and Bioinformatics"
ELC10097,Available,"IEEE/ACM Transactions on Networking"
ELC10098,Available,"IEEE/ASME Transactions on Mechatronics"
