Library_Identifier,Physical_Copy_Available,"publication","rank","totalPaid","wordRate","daysToBePaid","paymentDifficulty","rank_totalPaid","rank_wordRate","rank_daysToBePaid","rank_paymentDifficulty"
ELC10198,Available,"The Economist","1","498.75","0.8600000000000001","22.5","1","9","1","12","20.5"
ELC10199,Available,"Columbia Journalism Review","2","645","0.75","30","1","3","3.5","28.5","20.5"
ELC10200,Available,"The Walrus","3","700","0.77","15","2","2","2","5.5","56.5"
ELC10201,Available,"Medium","4","850","0.33999999999999997","30","1","1","18","28.5","20.5"
ELC10202,Available,"Wired","5","630","0.54","30","1","4","6","28.5","20.5"
ELC10203,Available,"New York Magazine","6","627","0.75","51","1.5","5","3.5","60","44"
ELC10204,Available,"Undark","7","504","0.53","30","1","7","7","28.5","20.5"
ELC10205,Available,"The New York Times","8","500","0.605","51","1","8","5","60","20.5"
ELC10206,Available,"Village Voice","9","400","0.5","30","1","19","9.5","28.5","20.5"
ELC10207,Available,"Racked","10","478","0.38","30","1","11","15","28.5","20.5"
ELC10208,Available,"Crixeo","11","420","0.35","30","1","14.5","17","28.5","20.5"
ELC10209,Available,"Extra Crispy","12.5","400","0.5","30","2","19","9.5","28.5","56.5"
ELC10210,Available,"The Guardian","12.5","400","0.5","30","2","19","9.5","28.5","56.5"
ELC10211,Available,"The Daily Beast","14","350","0.325","30","1","25","22","28.5","20.5"
ELC10212,Available,"Atlas Obscura","15","277.5","0.26","15","1","32","27","5.5","20.5"
ELC10213,Available,"Vice Sports","16","455.5","0.20500000000000002","30","1","12","40","28.5","20.5"
ELC10214,Available,"Pacific Standard","17","370","0.25","30","1","22","30.5","28.5","20.5"
ELC10215,Available,"Playboy","18","423.5","0.3","30","1.5","13","23","28.5","44"
ELC10216,Available,"Tablet Magazine","19","402.5","0.27","37.5","1","16","25","46","20.5"
ELC10217,Available,"Al-jazeera English","20","495","0.42","42","2","10","13","52","56.5"
ELC10218,Available,"Smithsonian Magazine","21","400.5","0.33","36","1.5","17","20","44.5","44"
ELC10219,Available,"The Nation","22","352","0.15","22.5","1","24","50.5","12","20.5"
ELC10220,Available,"Next City","23","200","0.235","15","1","46","36","5.5","20.5"
ELC10221,Available,"Citylab","24","304","0.33","42","1","28","20","52","20.5"
ELC10222,Available,"Slate","25","274.5","0.245","30","1","34","33","28.5","20.5"
ELC10223,Available,"Buzzfeed","26","321","0.195","30","1","26","45","28.5","20.5"
ELC10224,Available,"The New Yorker","27","300","0.2","30","1","29.5","42.5","28.5","20.5"
ELC10225,Available,"Washington Post","28","250","0.25","30","1","39.5","30.5","28.5","20.5"
ELC10226,Available,"Artforum","29","123.67","0.36","30","1","59","16","28.5","20.5"
ELC10227,Available,"Complex","30","247.5","0.22","30","1","43.5","37","28.5","20.5"
ELC10228,Available,"Ozy","31","352.5","0.47","51","2","23","12","60","56.5"
ELC10229,Available,"Truthout","32","150","0.135","15","1","52","54","5.5","20.5"
ELC10230,Available,"The Guardian (us)","33","396","0.33","42","2","21","20","52","56.5"
ELC10231,Available,"In These Times","34","187.775","0.21","30","1","48","38.5","28.5","20.5"
ELC10232,Available,"Motherboard (vice)","35","248.82","0.25","42","1","42","30.5","52","20.5"
ELC10233,Available,"Roads & Kingdoms","36","148.96000000000004","0.09","15","1","54","61.5","5.5","20.5"
ELC10234,Available,"The Fix","37","143","0.135","22.5","1","56","54","12","20.5"
ELC10235,Available,"Self Magazine","38","250","0.28","51","1","39.5","24","60","20.5"
ELC10236,Available,"The Paris Review","39","100","0.07500000000000001","15","1","63.5","65","5.5","20.5"
ELC10237,Available,"Huffington Post","40","146.44","0.14500000000000002","30","1","55","52","28.5","20.5"
ELC10238,Available,"Narratively","41","210.00000000000003","0.08","30","1","45","63.5","28.5","20.5"
ELC10239,Available,"Quartz","42","255","0.24","30","2","36","34","28.5","56.5"
ELC10240,Available,"Bitch","43","52.50000000000001","0.07","15","1","71","67","5.5","20.5"
ELC10241,Available,"Bustle","44","54.5","0.060000000000000005","15","1","70","69","5.5","20.5"
ELC10242,Available,"Into","45","252.00000000000003","0.26","36","2","37","27","44.5","56.5"
ELC10243,Available,"Foreign Policy","46","255.00000000000003","0.2","42","1.5","35","42.5","52","44"
ELC10244,Available,"Tonic (Vice)","47","297.92","0.26","42","2","31","27","52","56.5"
ELC10245,Available,"The Cut (New York Magazine)","48","306","0.39","60","2","27","14","66.5","56.5"
ELC10246,Available,"Hello Giggles","49","31.57","0.05","15","1","77","71.5","5.5","20.5"
ELC10247,Available,"The Establishment","50","121","0.09","30","1","60","61.5","28.5","20.5"
ELC10248,Available,"Broadly (vice)","51","300","0.2","42","2","29.5","42.5","52","56.5"
ELC10249,Available,"The New Republic","52","192","0.16","30","2","47","48.5","28.5","56.5"
ELC10250,Available,"Autostraddle","53","41.75","0.04","30","1","75","74","28.5","20.5"
ELC10251,Available,"Are We Europe","54","120","0.06","30","1.5","61","70","28.5","44"
ELC10252,Available,"Ravishly","55","85.5","0.08","30","1.5","67","63.5","28.5","44"
ELC10253,Available,"Pitchfork","56","100","0.2","60","1","63.5","42.5","66.5","20.5"
