Library_Identifier,Electronic_Copy_Available,Issue_Status,Checked_Out_Date_And_Time,Issue_Duration,Topic
PHY10099,Available,Available,N/A,N/A,"IEEE Latin America Transactions"
PHY10100,Available,Available,N/A,N/A,"IEEE Transactions on Aerospace and Electronic Systems"
PHY10101,Available,Available,N/A,N/A,"IEEE Transactions on Affective Computing"
PHY10102,Available,Available,N/A,N/A,"IEEE Transactions on Antennas and Propagation"
PHY10103,Available,Available,N/A,N/A,"IEEE Transactions on Applied Superconductivity"
PHY10104,Available,Available,N/A,N/A,"IEEE Transactions on Artificial Intelligence"
PHY10105,Available,Available,N/A,N/A,"IEEE Transactions on Automatic Control"
PHY10106,Available,Available,N/A,N/A,"IEEE Transactions on Automation Science and Engineering"
PHY10107,Available,Available,N/A,N/A,"IEEE Transactions on Big Data"
PHY10108,Available,Available,N/A,N/A,"IEEE Transactions on Biomedical Circuits and Systems"
PHY10109,Available,Available,N/A,N/A,"IEEE Transactions on Biomedical Engineering"
PHY10110,Available,Available,N/A,N/A,"IEEE Transactions on Biometrics, Behavior, and Identity Science"
PHY10111,Available,Available,N/A,N/A,"IEEE Transactions on Broadcasting"
PHY10112,Available,Available,N/A,N/A,"IEEE Transactions on Circuits and Systems I: Regular Papers"
PHY10113,Available,Available,N/A,N/A,"IEEE Transactions on Circuits and Systems II: Express Briefs"
PHY10114,Available,Available,N/A,N/A,"IEEE Transactions on Circuits and Systems for Video Technology"
PHY10115,Available,Available,N/A,N/A,"IEEE Transactions on Cloud Computing"
PHY10116,Available,Available,N/A,N/A,"IEEE Transactions on Cognitive Communications and Networking"
PHY10117,Available,Available,N/A,N/A,"IEEE Transactions on Cognitive and Developmental Systems"
PHY10118,Available,Available,N/A,N/A,"IEEE Transactions on Communications"
PHY10119,Available,Available,N/A,N/A,"IEEE Transactions on Components, Packaging and Manufacturing Technology"
PHY10120,Available,Available,N/A,N/A,"IEEE Transactions on Computational Social Systems"
PHY10121,Available,Available,N/A,N/A,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"
PHY10122,Available,Available,N/A,N/A,"IEEE Transactions on Computers"
PHY10123,Available,Available,N/A,N/A,"IEEE Transactions on Consumer Electronics"
PHY10124,Available,Available,N/A,N/A,"IEEE Transactions on Control Systems Technology"
PHY10125,Available,Available,N/A,N/A,"IEEE Transactions on Control of Network Systems"
PHY10126,Available,Available,N/A,N/A,"IEEE Transactions on Cybernetics"
PHY10127,Available,Available,N/A,N/A,"IEEE Transactions on Dependable and Secure Computing"
PHY10128,Available,Available,N/A,N/A,"IEEE Transactions on Device and Materials Reliability"
PHY10129,Available,Available,N/A,N/A,"IEEE Transactions on Dielectrics and Electrical Insulation"
PHY10130,Available,Available,N/A,N/A,"IEEE Transactions on Education"
PHY10131,Available,Available,N/A,N/A,"IEEE Transactions on Electromagnetic Compatibility"
PHY10132,Available,Available,N/A,N/A,"IEEE Transactions on Electron Devices"
PHY10133,Available,Available,N/A,N/A,"IEEE Transactions on Emerging Topics in Computational Intelligence"
PHY10134,Available,Available,N/A,N/A,"IEEE Transactions on Emerging Topics in Computing"
PHY10135,Available,Available,N/A,N/A,"IEEE Transactions on Energy Conversion"
PHY10136,Available,Available,N/A,N/A,"IEEE Transactions on Engineering Management"
PHY10137,Available,Available,N/A,N/A,"IEEE Transactions on Evolutionary Computation"
PHY10138,Available,Available,N/A,N/A,"IEEE Transactions on Fuzzy Systems"
PHY10139,Available,Available,N/A,N/A,"IEEE Transactions on Games"
PHY10140,Available,Available,N/A,N/A,"IEEE Transactions on Geoscience and Remote Sensing"
PHY10141,Available,Available,N/A,N/A,"IEEE Transactions on Green Communications and Networking"
PHY10142,Available,Available,N/A,N/A,"IEEE Transactions on Haptics"
PHY10143,Available,Available,N/A,N/A,"IEEE Transactions on Human-Machine Systems"
PHY10144,Available,Available,N/A,N/A,"IEEE Transactions on Industrial Electronics"
PHY10145,Available,Available,N/A,N/A,"IEEE Transactions on Industrial Informatics"
PHY10146,Available,Available,N/A,N/A,"IEEE Transactions on Industry Applications"
PHY10147,Available,Available,N/A,N/A,"IEEE Transactions on Information Forensics and Security"
PHY10148,Available,Available,N/A,N/A,"IEEE Transactions on Information Theory"
PHY10149,Available,Available,N/A,N/A,"IEEE Transactions on Instrumentation and Measurement"
PHY10150,Available,Available,N/A,N/A,"IEEE Transactions on Intelligent Transportation Systems"
PHY10151,Available,Available,N/A,N/A,"IEEE Transactions on Intelligent Vehicles"
PHY10152,Available,Available,N/A,N/A,"IEEE Transactions on Knowledge and Data Engineering"
PHY10153,Available,Available,N/A,N/A,"IEEE Transactions on Learning Technologies"
PHY10154,Available,Available,N/A,N/A,"IEEE Transactions on Magnetics"
PHY10155,Available,Available,N/A,N/A,"IEEE Transactions on Medical Imaging"
PHY10156,Available,Available,N/A,N/A,"IEEE Transactions on Medical Robotics and Bionics"
PHY10157,Available,Available,N/A,N/A,"IEEE Transactions on Microwave Theory and Techniques"
PHY10158,Available,Available,N/A,N/A,"IEEE Transactions on Mobile Computing"
PHY10159,Available,Available,N/A,N/A,"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications"
PHY10160,Available,Available,N/A,N/A,"IEEE Transactions on Multimedia"
PHY10161,Available,Available,N/A,N/A,"IEEE Transactions on Nanobioscience"
PHY10162,Available,Available,N/A,N/A,"IEEE Transactions on Nanotechnology"
PHY10163,Available,Available,N/A,N/A,"IEEE Transactions on Network Science and Engineering"
PHY10164,Available,Available,N/A,N/A,"IEEE Transactions on Network and Service Management"
PHY10165,Available,Available,N/A,N/A,"IEEE Transactions on Neural Networks and Learning Systems"
PHY10166,Available,Available,N/A,N/A,"IEEE Transactions on Nuclear Science"
