Library_Identifier,Electronic_Copy_Available,Issue_Status,Checked_Out_Date_And_Time,Issue_Duration,"publication","rank","totalPaid","wordRate","daysToBePaid","paymentDifficulty","rank_totalPaid","rank_wordRate","rank_daysToBePaid","rank_paymentDifficulty"
PHY10278,Available,Available,N/A,N/A,"The Economist","1","498.75","0.8600000000000001","22.5","1","9","1","12","20.5"
PHY10279,Available,Available,N/A,N/A,"Columbia Journalism Review","2","645","0.75","30","1","3","3.5","28.5","20.5"
PHY10280,Available,Available,N/A,N/A,"The Walrus","3","700","0.77","15","2","2","2","5.5","56.5"
PHY10281,Available,Available,N/A,N/A,"Medium","4","850","0.33999999999999997","30","1","1","18","28.5","20.5"
PHY10282,Available,Available,N/A,N/A,"Wired","5","630","0.54","30","1","4","6","28.5","20.5"
PHY10283,Available,Available,N/A,N/A,"New York Magazine","6","627","0.75","51","1.5","5","3.5","60","44"
PHY10284,Available,Available,N/A,N/A,"Undark","7","504","0.53","30","1","7","7","28.5","20.5"
PHY10285,Available,Available,N/A,N/A,"The New York Times","8","500","0.605","51","1","8","5","60","20.5"
PHY10286,Available,Available,N/A,N/A,"Village Voice","9","400","0.5","30","1","19","9.5","28.5","20.5"
PHY10287,Available,Available,N/A,N/A,"Racked","10","478","0.38","30","1","11","15","28.5","20.5"
PHY10288,Available,Available,N/A,N/A,"Crixeo","11","420","0.35","30","1","14.5","17","28.5","20.5"
PHY10289,Available,Available,N/A,N/A,"Extra Crispy","12.5","400","0.5","30","2","19","9.5","28.5","56.5"
PHY10290,Available,Available,N/A,N/A,"The Guardian","12.5","400","0.5","30","2","19","9.5","28.5","56.5"
PHY10291,Available,Checked_Out,20/9/2023 1:28:41,6 Months,"The Daily Beast","14","350","0.325","30","1","25","22","28.5","20.5",
PHY10292,Available,Available,N/A,N/A,"Atlas Obscura","15","277.5","0.26","15","1","32","27","5.5","20.5"
PHY10293,Available,Available,N/A,N/A,"Vice Sports","16","455.5","0.20500000000000002","30","1","12","40","28.5","20.5"
PHY10294,Available,Available,N/A,N/A,"Pacific Standard","17","370","0.25","30","1","22","30.5","28.5","20.5"
PHY10295,Available,Available,N/A,N/A,"Playboy","18","423.5","0.3","30","1.5","13","23","28.5","44"
PHY10296,Available,Available,N/A,N/A,"Tablet Magazine","19","402.5","0.27","37.5","1","16","25","46","20.5"
PHY10297,Available,Available,N/A,N/A,"Al-jazeera English","20","495","0.42","42","2","10","13","52","56.5"
PHY10298,Available,Available,N/A,N/A,"Smithsonian Magazine","21","400.5","0.33","36","1.5","17","20","44.5","44"
PHY10299,Available,Available,N/A,N/A,"The Nation","22","352","0.15","22.5","1","24","50.5","12","20.5"
PHY10300,Available,Available,N/A,N/A,"Next City","23","200","0.235","15","1","46","36","5.5","20.5"
PHY10301,Available,Available,N/A,N/A,"Citylab","24","304","0.33","42","1","28","20","52","20.5"
PHY10302,Available,Available,N/A,N/A,"Slate","25","274.5","0.245","30","1","34","33","28.5","20.5"
PHY10303,Available,Available,N/A,N/A,"Buzzfeed","26","321","0.195","30","1","26","45","28.5","20.5"
PHY10304,Available,Available,N/A,N/A,"The New Yorker","27","300","0.2","30","1","29.5","42.5","28.5","20.5"
PHY10305,Available,Available,N/A,N/A,"Washington Post","28","250","0.25","30","1","39.5","30.5","28.5","20.5"
PHY10306,Available,Available,N/A,N/A,"Artforum","29","123.67","0.36","30","1","59","16","28.5","20.5"
PHY10307,Available,Available,N/A,N/A,"Complex","30","247.5","0.22","30","1","43.5","37","28.5","20.5"
PHY10308,Available,Available,N/A,N/A,"Ozy","31","352.5","0.47","51","2","23","12","60","56.5"
PHY10309,Available,Available,N/A,N/A,"Truthout","32","150","0.135","15","1","52","54","5.5","20.5"
PHY10310,Available,Available,N/A,N/A,"The Guardian (us)","33","396","0.33","42","2","21","20","52","56.5"
PHY10311,Available,Available,N/A,N/A,"In These Times","34","187.775","0.21","30","1","48","38.5","28.5","20.5"
PHY10312,Available,Available,N/A,N/A,"Motherboard (vice)","35","248.82","0.25","42","1","42","30.5","52","20.5"
PHY10313,Available,Available,N/A,N/A,"Roads & Kingdoms","36","148.96000000000004","0.09","15","1","54","61.5","5.5","20.5"
PHY10314,Available,Available,N/A,N/A,"The Fix","37","143","0.135","22.5","1","56","54","12","20.5"
PHY10315,Available,Available,N/A,N/A,"Self Magazine","38","250","0.28","51","1","39.5","24","60","20.5"
PHY10316,Available,Available,N/A,N/A,"The Paris Review","39","100","0.07500000000000001","15","1","63.5","65","5.5","20.5"
PHY10317,Available,Available,N/A,N/A,"Huffington Post","40","146.44","0.14500000000000002","30","1","55","52","28.5","20.5"
PHY10318,Available,Available,N/A,N/A,"Narratively","41","210.00000000000003","0.08","30","1","45","63.5","28.5","20.5"
PHY10319,Available,Available,N/A,N/A,"Quartz","42","255","0.24","30","2","36","34","28.5","56.5"
PHY10320,Available,Available,N/A,N/A,"Bitch","43","52.50000000000001","0.07","15","1","71","67","5.5","20.5"
PHY10321,Available,Available,N/A,N/A,"Bustle","44","54.5","0.060000000000000005","15","1","70","69","5.5","20.5"
PHY10322,Available,Available,N/A,N/A,"Into","45","252.00000000000003","0.26","36","2","37","27","44.5","56.5"
PHY10323,Available,Available,N/A,N/A,"Foreign Policy","46","255.00000000000003","0.2","42","1.5","35","42.5","52","44"
PHY10324,Available,Available,N/A,N/A,"Tonic (Vice)","47","297.92","0.26","42","2","31","27","52","56.5"
PHY10325,Available,Available,N/A,N/A,"The Cut (New York Magazine)","48","306","0.39","60","2","27","14","66.5","56.5"
PHY10326,Available,Available,N/A,N/A,"Hello Giggles","49","31.57","0.05","15","1","77","71.5","5.5","20.5"
PHY10327,Available,Available,N/A,N/A,"The Establishment","50","121","0.09","30","1","60","61.5","28.5","20.5"
PHY10328,Available,Available,N/A,N/A,"Broadly (vice)","51","300","0.2","42","2","29.5","42.5","52","56.5"
PHY10329,Available,Available,N/A,N/A,"The New Republic","52","192","0.16","30","2","47","48.5","28.5","56.5"
PHY10330,Available,Available,N/A,N/A,"Autostraddle","53","41.75","0.04","30","1","75","74","28.5","20.5"
PHY10331,Available,Available,N/A,N/A,"Are We Europe","54","120","0.06","30","1.5","61","70","28.5","44"
PHY10332,Available,Available,N/A,N/A,"Ravishly","55","85.5","0.08","30","1.5","67","63.5","28.5","44"
PHY10333,Available,Available,N/A,N/A,"Pitchfork","56","100","0.2","60","1","63.5","42.5","66.5","20.5"
PHY10334,Available,Available,N/A,N/A,"The Tempest","57","10","0.02","30","1","80","78.5","28.5","20.5"
PHY10335,Available,Available,N/A,N/A,"The Hairpin","58","102.35499999999999","0.135","60","1","62","54","66.5","20.5"
PHY10336,Available,Available,N/A,N/A,"Teen Vogue","59","135","0.15","42","2","57","50.5","52","56.5"
PHY10337,Available,Available,N/A,N/A,"The Atlantic","60","150","0.13","42","2","52","57","52","56.5"
PHY10338,Available,Available,N/A,N/A,"The Bold Italic","61","64.5","0.07","30","2","68","67","28.5","56.5"
PHY10339,Available,Available,N/A,N/A,"Vice","62","250","0.17","42","3","39.5","46.5","52","70.5"
PHY10340,Available,Available,N/A,N/A,"Rolling Stone","63","247.5","0.25","60","3","43.5","30.5","66.5","70.5"
PHY10341,Available,Available,N/A,N/A,"The New Inquiry","64","47.5","0.03","15","3","74","76","5.5","70.5"
PHY10342,Available,Available,N/A,N/A,"Broadly","65","276","0.21","75","2.5","33","38.5","73.5","66"
PHY10343,Available,Available,N/A,N/A,"Bust","66","50","0.05","60","1.5","72.5","71.5","66.5","44"
PHY10344,Available,Available,N/A,N/A,"Hyperallergic","67","98.75","0.1","60","2","65","59.5","66.5","56.5"
PHY10345,Available,Available,N/A,N/A,"Los Angeles Review Of Books","68","60","0.02","51","2","69","78.5","60","56.5"
PHY10346,Available,Available,N/A,N/A,"The Billfold","69","35.59","0.03","60","2","76","76","66.5","56.5"
PHY10347,Available,Available,N/A,N/A,"The Financial Diet","70","13.45","0.01","42","3","79","80","52","70.5"
PHY10348,Available,Available,N/A,N/A,"Alternet","71","250","0.17","76","3.5","39.5","46.5","76","75"
PHY10349,Available,Available,N/A,N/A,"Dazed","72","130","0.13","75","3","58","57","73.5","70.5"
PHY10350,Available,Available,N/A,N/A,"Refinery29","73","174.375","0.16","60","4","49","48.5","66.5","76.5"
PHY10351,Available,Available,N/A,N/A,"Outside Online","74","420","0.5","110","5","14.5","9.5","78.5","79"
PHY10352,Available,Available,N/A,N/A,"Xojane","75","50","0.045","70","3","72.5","73","71","70.5"
